,word,url,word_class,definition
112,age,https://www.dictionary.com/browse/age,noun,the length of time during which a being or thing has existed; length of life or existence to the time spoken of or referred to: trees of unknown age; his age is 20 years.
113,father,https://www.dictionary.com/browse/father,noun,"a father-in-law, stepfather, or adoptive father."
114,force,https://www.dictionary.com/browse/force,noun,physical power or strength possessed by a living being: he used all his force in opening the window.
115,order,https://www.dictionary.com/browse/order,noun,an authoritative direction or instruction; command; mandate. 
116,value,https://www.dictionary.com/browse/value,noun,"relative worth, merit, or importance: the value of a college education; the value of a queen in chess."
117,act,https://www.dictionary.com/browse/act,noun,"anything done, being done, or to be done; deed; performance: a heroic act."
118,matter,https://www.dictionary.com/browse/matter,noun,the substance or substances of which any physical object consists or is composed: the matter of which the earth is made.
119,health,https://www.dictionary.com/browse/health,noun,the general condition of the body or mind with reference to soundness and vigor: good health; poor health.
120,lot,https://www.dictionary.com/browse/lot,noun,"one of a set of objects, such as straws or pebbles, drawn or thrown from a container to decide a question or choice by chance."
121,decision,https://www.dictionary.com/browse/decision,noun,"the act or process of deciding;  determination, as of a question or doubt, by making a judgment: they must make a decision between these two contestants."
122,street,https://www.dictionary.com/browse/street,noun,"a public thoroughfare, usually paved, in a village, town, or city, including the sidewalk or sidewalks."
123,industry,https://www.dictionary.com/browse/industry,noun,"the aggregate of manufacturing or technically productive enterprises in a particular field, often named after its principal product: the automobile industry; the steel industry."
124,patient,https://www.dictionary.com/browse/patient,noun,a person who is under medical care or treatment.
125,class,https://www.dictionary.com/browse/class,noun,"a number of persons or things regarded as forming a group by reason of common attributes, characteristics, qualities, or traits; kind; sort: a class of objects used in daily living."
126,mind,https://www.dictionary.com/browse/mind,noun,"(in a human or other conscious being) the element, part, substance, or process that reasons, thinks, feels, wills, perceives, judges, etc.: the processes of the human mind."
127,church,https://www.dictionary.com/browse/church,noun,a building for public christian worship.
128,condition,https://www.dictionary.com/browse/condition,noun,a particular mode of being of a person or thing; existing state; situation with respect to circumstances.
129,paper,https://www.dictionary.com/browse/paper,noun,"a substance made from wood pulp, rags, straw, or other fibrous material, usually in thin sheets, used to bear writing or printing, for wrapping things, etc."
130,bank,https://www.dictionary.com/browse/bank,noun,a long pile or heap; mass: a bank of earth;a bank of clouds.
131,century,https://www.dictionary.com/browse/century,noun,a period of 100 years.
132,section,https://www.dictionary.com/browse/section,noun,a part that is cut off or separated.
133,activity,https://www.dictionary.com/browse/activity,noun,the state or quality of being active: there was not much activity in the stock market today. he doesn't have enough physical activity in his life.
134,hundred,https://www.dictionary.com/browse/hundred,noun,"a cardinal number, ten times ten."
135,table,https://www.dictionary.com/browse/table,noun,"an article of furniture consisting of a flat, slablike top supported on one or more legs or other supports: a kitchen table;  an operating table;a pool table."
136,death,https://www.dictionary.com/browse/death,noun,the act of dying; the end of life; the total and permanent cessation of all the vital functions of an organism.compare brain death. 
137,building,https://www.dictionary.com/browse/building,noun,"a relatively permanent enclosed construction over a plot of land, having a roof and usually windows and often more than one level, used for any of a wide variety of activities, as living, entertaining, or manufacturing."
138,sense,https://www.dictionary.com/browse/sense,noun,"any of the faculties, as sight, hearing, smell, taste, or touch, by which humans and animals perceive stimuli originating from outside or inside the body: my sense of smell tells me that dinner is ready."
139,sort,https://www.dictionary.com/browse/sort,noun,"a particular kind, species, variety, class, or group, distinguished by a common character or nature: to develop a new sort of painting;nice people, of course, but not really our sort."
140,staff,https://www.dictionary.com/browse/staff,noun,"a group of persons, as employees, charged with carrying out the work of an establishment or executing some undertaking."
141,team,https://www.dictionary.com/browse/team,noun,a number of persons forming one of the sides in a game or contest: a football team.
142,experience,https://www.dictionary.com/browse/experience,noun,a particular instance of personally encountering or undergoing something: my encounter with the bear in the woods was a frightening experience.
143,student,https://www.dictionary.com/browse/student,noun,"a person formally engaged in learning, especially one enrolled in a school or college; pupil: a student at yale."
144,language,https://www.dictionary.com/browse/language,noun,"a body of words and the systems for their use common to a people who are of the same community or nation, the same geographical area, or the same cultural tradition: the two languages of belgium; a bantu language; the french language; the yiddish language."
145,town,https://www.dictionary.com/browse/town,noun,"a thickly populated area, usually smaller than a city and larger than a village, having fixed boundaries and certain local powers of government."
146,plan,https://www.dictionary.com/browse/plan,noun,"a scheme or method of acting, doing, proceeding, making, etc., developed in advance: battle plans."
147,department,https://www.dictionary.com/browse/department,noun,a distinct part of anything arranged in divisions; a division of a complex whole or organized system.
148,management,https://www.dictionary.com/browse/management,noun,"the act or manner of managing;  handling, direction, or control."
149,morning,https://www.dictionary.com/browse/morning,noun,"the first part or period of the day, extending from dawn, or from midnight, to noon."
150,committee,https://www.dictionary.com/browse/committee,noun,"a person or group of persons elected or appointed to perform some service or function, as to investigate, report on, or act upon a particular matter."
151,product,https://www.dictionary.com/browse/product,noun,a thing produced by labor: products of farm and factory; the product of his thought.
152,practice,https://www.dictionary.com/browse/practice,noun,habitual or customary performance; operation: office practice.
153,evidence,https://www.dictionary.com/browse/evidence,noun,that which tends to prove or disprove something; ground for belief; proof.
154,ground,https://www.dictionary.com/browse/ground,noun,the solid surface of the earth; firm or dry land: to fall to the ground.
155,letter,https://www.dictionary.com/browse/letter,noun,a written or printed communication addressed to a person or organization and usually transmitted by mail.
156,meeting,https://www.dictionary.com/browse/meeting,noun,the act of coming together: a chance meeting in the park.
157,foot,https://www.dictionary.com/browse/foot,noun,"(in vertebrates) the terminal part of the leg, below the ankle joint, on which the body stands and moves."
158,boy,https://www.dictionary.com/browse/boy,noun,"a male child, from birth to full growth, especially one less than 18 years of age."
159,back,https://www.dictionary.com/browse/back,noun,"the rear part of the human body, extending from the neck to the lower end of the spine."
160,game,https://www.dictionary.com/browse/game,noun,an amusement or pastime: children's games. 
161,food,https://www.dictionary.com/browse/food,noun,"any nourishing substance that is eaten, drunk, or otherwise taken into the body to sustain life, provide energy, promote growth, etc."
162,union,https://www.dictionary.com/browse/union,noun,the act of uniting two or more things.
163,role,https://www.dictionary.com/browse/role,noun,a part or character played by an actor or actress.
164,event,https://www.dictionary.com/browse/event,noun,"something that happens or is regarded as happening; an occurrence, especially one of some importance."
165,land,https://www.dictionary.com/browse/land,noun,any part of the earth's surface not covered by a body of water; the part of the earth's surface occupied by continents and islands: land was sighted from the crow's nest.
166,art,https://www.dictionary.com/browse/art,noun,"the quality, production, expression, or realm, according to aesthetic principles, of what is beautiful, appealing, or of more than ordinary significance."
167,support,https://www.dictionary.com/browse/support,noun,the act or an instance of supporting.
168,range,https://www.dictionary.com/browse/range,noun,the extent to which or the limits between which variation is possible: the range of steel prices; a wide range of styles.
169,stage,https://www.dictionary.com/browse/stage,noun,"a single step or degree in a process; a particular phase, period, position, etc., in a process, development, or series."
170,teacher,https://www.dictionary.com/browse/teacher,noun,"a person who teaches  or instructs, especially as a profession; instructor."
171,trade,https://www.dictionary.com/browse/trade,noun,"the act or process of buying, selling, or exchanging commodities, at either wholesale or retail, within a country or between countries: domestic trade; foreign trade."
172,voice,https://www.dictionary.com/browse/voice,noun,"the sound or sounds uttered through the mouth of living creatures, especially of human beings in speaking, shouting, singing, etc."
173,arm,https://www.dictionary.com/browse/arm,noun,"the upper limb of the human body, especially the part extending from the shoulder to the wrist."
174,club,https://www.dictionary.com/browse/club,noun,"a heavy stick, usually thicker at one end than at the other, suitable for use as a weapon; a cudgel."
175,field,https://www.dictionary.com/browse/field,noun,"an expanse of open or cleared ground, especially a piece of land suitable or used for pasture or tillage."
176,history,https://www.dictionary.com/browse/history,noun,the branch of knowledge dealing with past events.
177,parent,https://www.dictionary.com/browse/parent,noun,a father or a mother.
178,account,https://www.dictionary.com/browse/account,noun,an oral or written description of particular events or situations; narrative: an account of the meetings; an account of the trip.
179,material,https://www.dictionary.com/browse/material,noun,the substance or substances of which a thing is made or composed: stone is a durable material.
180,care,https://www.dictionary.com/browse/care,noun,"a state of mind in which one is troubled; worry, anxiety, or concern: he was never free from care."
181,situation,https://www.dictionary.com/browse/situation,noun,manner of being situated;  location or position with reference to environment: the situation of the house allowed for a beautiful view.
182,manager,https://www.dictionary.com/browse/manager,noun,"a person who has control or direction of an institution, business, etc., or of a part, division, or phase of it."
183,project,https://www.dictionary.com/browse/project,noun,"something that is contemplated, devised, or planned; plan; scheme: i have several little projects around the house that i’d like to tackle in my time off."
184,record,https://www.dictionary.com/browse/record,noun,"the state of being recorded, as in writing."
185,example,https://www.dictionary.com/browse/example,noun,"one of a number of things, or a part of something, taken to show the character of the whole: this painting is an example of his early work."
186,training,https://www.dictionary.com/browse/training,noun,"the education, instruction, or discipline of a person or thing that is being trained: he's in training for the olympics."
187,window,https://www.dictionary.com/browse/window,noun,"an opening in the wall of a building, the side of a vehicle, etc., for the admission of air or light, or both, commonly fitted with a frame in which are set movable sashes containing panes of glass."
188,air,https://www.dictionary.com/browse/air,noun,"a mixture of nitrogen, oxygen, and minute amounts of other gases that surrounds the earth and forms its atmosphere."
189,difference,https://www.dictionary.com/browse/difference,noun,the state or relation of being different; dissimilarity: there is a great difference between the two.
190,light,https://www.dictionary.com/browse/light,noun,something that makes things visible or affords illumination: all colors depend on light.
