,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,month,cumulative_total_rainfall,cumulative_dengue_cases
2013-M07,174.6,27.770967741935483,22.9,25.23225806451613,33.5,33.5,7.058064516129033,40.0,30.91290322580645,2721,45,1419657,587318,2013,7,1399.8,13669
2013-M08,165.6,27.89032258064516,21.6,25.08709677419355,32.8,32.8,9.238709677419354,47.2,33.980645161290326,1264,31,1483520,639716,2013,8,1565.3999999999999,14933
2013-M09,257.0,27.540000000000003,21.9,24.790000000000003,32.9,32.9,7.4,51.1,33.21666666666667,1959,27,1176142,697010,2013,9,1822.3999999999999,16892
2013-M10,285.40000000000003,27.712903225806453,20.9,24.606451612903225,33.2,33.2,7.032258064516129,52.2,32.564516129032256,1748,35,1203746,717544,2013,10,2107.7999999999997,18640
2013-M11,292.4,27.146666666666665,22.9,24.476666666666667,32.9,32.9,6.166666666666667,36.7,28.88,1669,31,1184002,895821,2013,11,2400.2,20309
2013-M12,348.2,26.47741935483871,21.2,24.13225806451613,33.7,33.7,8.37741935483871,48.2,30.787096774193547,1885,25,1367404,1077593,2013,12,2748.3999999999996,22194
2014-M01,75.4,26.203225806451613,22.4,24.03548387096774,31.8,31.8,11.238709677419354,42.8,34.541935483870965,1653,26,1345842,626646,2014,1,75.4,1653
2014-M02,0.2,27.224999999999998,22.4,24.49285714285714,33.8,33.8,13.732142857142858,42.8,36.082142857142856,1071,24,1238239,572401,2014,2,75.60000000000001,2724
2014-M03,66.0,27.932258064516127,23.6,25.067741935483873,34.4,34.4,11.506451612903225,42.1,35.351612903225806,1057,18,1297551,757244,2014,3,141.60000000000002,3781
2014-M04,110.0,28.23,22.8,25.516666666666666,34.5,34.5,7.163333333333333,43.2,31.546666666666667,1002,19,1245307,670221,2014,4,251.60000000000002,4783
2014-M05,125.8,28.56451612903226,23.0,25.81935483870968,33.8,33.8,6.929032258064517,42.5,31.248387096774195,1231,20,1208532,730861,2014,5,377.40000000000003,6014
2014-M06,71.4,29.03666666666667,23.0,26.283333333333335,33.6,33.6,7.916666666666667,60.5,33.559999999999995,2643,27,1181422,896499,2014,6,448.80000000000007,8657
2014-M07,148.6,28.703225806451613,21.1,25.787096774193547,33.2,33.2,8.85483870967742,70.6,35.79354838709677,3090,42,1408400,606034,2014,7,597.4000000000001,11747
2014-M08,241.0,27.65806451612903,22.0,25.174193548387095,31.9,31.9,8.470967741935485,52.9,34.858064516129026,1885,38,1362935,617255,2014,8,838.4000000000001,13632
2014-M09,83.6,28.503333333333334,22.4,25.69,33.2,33.2,10.03,61.9,37.14,1810,22,1098626,713298,2014,9,922.0000000000001,15442
2014-M10,120.0,28.393548387096775,24.0,25.725806451612904,34.1,34.1,8.303225806451612,42.1,30.729032258064517,1127,20,1203527,757472,2014,10,1042.0,16569
2014-M11,250.8,27.496666666666666,22.2,24.836666666666666,33.4,33.4,6.423333333333333,50.8,30.64333333333333,662,16,1144230,872185,2014,11,1292.8,17231
2014-M12,245.6,27.05806451612903,22.4,24.741935483870968,33.6,33.6,7.290322580645161,49.7,30.025806451612905,937,15,1360541,1082589,2014,12,1538.3999999999999,18168
2015-M01,137.8,26.802941176470586,22.9,24.594117647058823,32.4,32.4,10.844117647058823,58.7,33.71176470588235,981,15,1252608,602818,2015,1,137.8,981
2015-M02,18.8,26.974999999999998,23.1,24.40357142857143,33.6,33.6,11.346428571428572,43.2,30.50714285714286,657,13,1188818,612946,2015,2,156.60000000000002,1638
2015-M03,84.4,28.154838709677417,23.4,25.506451612903227,34.4,34.4,10.916129032258064,45.0,34.08387096774193,612,14,1201648,758811,2015,3,241.00000000000003,2250
2015-M04,73.2,28.6,24.0,25.916666666666668,34.4,34.4,8.206666666666667,37.1,30.973333333333336,477,14,1208624,695965,2015,4,314.20000000000005,2727
2015-M05,89.0,28.73548387096774,24.0,26.4,34.2,34.2,8.72258064516129,51.5,34.44193548387097,582,17,1222836,789999,2015,5,403.20000000000005,3309
2015-M06,95.8,28.993333333333332,24.2,26.583333333333332,34.3,34.3,9.856666666666666,44.3,32.48,1034,17,1184747,868634,2015,6,499.00000000000006,4343
2015-M07,116.8,29.05483870967742,22.1,26.674193548387095,32.7,32.7,12.038709677419355,59.4,37.9483870967742,1078,20,1519233,630628,2015,7,615.8000000000001,5421
2015-M08,185.8,28.4,22.6,26.032258064516128,33.1,33.1,11.774193548387096,49.0,35.483870967741936,1168,14,1445062,674736,2015,8,801.6000000000001,6589
2015-M09,61.599999999999994,28.68,23.1,26.470000000000002,33.2,33.2,10.566666666666666,43.2,31.59,991,16,1131976,728534,2015,9,863.2000000000002,7580
2015-M10,87.2,28.674193548387095,21.9,26.083870967741937,33.6,33.6,9.287096774193548,59.4,32.645161290322584,940,16,1246947,715482,2015,10,950.4000000000002,8520
