latlong,postal_code,postal_sector,postal_district,general_location
"1.3680063,103.877973",545357,54,19,"Serangoon Garden, Hougang, Punggol"
"1.315413,103.833347",259826,25,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.371099,103.85219",561591,56,20,"Bishan, Ang Mo Kio"
"1.3458864,103.748852",650208,65,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.323199,103.858945",320006,32,12,"Balestier, Toa Payoh, Serangoon"
"1.328399,103.946777",465518,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.30244,103.84882",228051,22,9,"Orchard, Cairnhill, River Valley"
"1.3408276,103.6947894",640705,64,22,Jurong
"1.3128427,103.9106438",423827,42,15,"Katong, Joo Chiat, Amber Road"
"1.396547,103.880544",792471,79,28,Seletar
"1.417086,103.8321348",760812,76,27,"Yishun, Sembawang"
"1.3744559,103.943935",510517,51,18,"Tampines, Pasir Ris"
"1.377519,103.893613",530435,53,19,"Serangoon Garden, Hougang, Punggol"
"1.325333,103.921774",461022,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.4317629,103.794424",730549,73,25,"Kranji, Woodgrove"
"1.313585,103.888358",398153,39,14,"Geylang, Eunos"
"1.3731142,103.8307357",577577,57,20,"Bishan, Ang Mo Kio"
"1.443517,103.791634",730841,73,25,"Kranji, Woodgrove"
"1.362682,103.890291",530373,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3778931,103.7681493",670110,67,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.317837,103.913531",426312,42,15,"Katong, Joo Chiat, Amber Road"
"1.3098654,103.856432",207279,20,8,Little India
"1.3751627,103.9583785",510476,51,18,"Tampines, Pasir Ris"
"1.333456,103.9375339",460103,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.325855,103.910504",410103,41,14,"Geylang, Eunos"
"1.3628453,103.8334355",570403,57,20,"Bishan, Ang Mo Kio"
"1.3414861,103.8495995",310202,31,12,"Balestier, Toa Payoh, Serangoon"
"1.389432,103.858866",806107,80,28,Seletar
"1.37964,103.879326",532979,53,19,"Serangoon Garden, Hougang, Punggol"
"1.331591,103.85724",310251,31,12,"Balestier, Toa Payoh, Serangoon"
"1.3269288,103.9239521",461808,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.306719,103.908584",426915,42,15,"Katong, Joo Chiat, Amber Road"
"1.352539,103.959782",520337,52,18,"Tampines, Pasir Ris"
"1.3329198,103.9220513",460557,46,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3692577,103.8958627",530361,53,19,"Serangoon Garden, Hougang, Punggol"
"1.34809,103.791244",288060,28,11,"Watten Estate, Novena, Thomson"
