,total_rainfall,mean_temperature,minimum_temperature,minimum_temperature_mean,maximum_temperature,maximum_temperature_mean,mean_wind_speed,max_wind_speed,max_wind_speed_mean,dengue_cases,interest,inbound,outbound,year,week,cumulative_total_rainfall,cumulative_dengue_cases
2014-W11,52.6,27.97142857142857,23.6,24.985714285714288,34.1,34.1,13.085714285714285,41.4,38.57142857142857,225,9,259510,151449,2014,11,130.20000000000002,3346
2014-W12,13.0,27.428571428571427,24.2,25.0,33.6,33.6,9.028571428571428,36.0,30.74285714285714,210,12,259510,151449,2014,12,143.20000000000002,3556
2014-W13,0.4,28.571428571428573,24.7,25.7,34.4,34.4,10.728571428571428,37.1,34.1,225,14,259510,151449,2014,13,143.60000000000002,3781
2014-W14,25.599999999999998,28.32857142857143,22.8,25.785714285714285,34.2,34.2,8.685714285714285,43.2,33.48571428571429,240,11,311327,167555,2014,14,169.20000000000002,4021
2014-W15,29.2,27.8,23.9,25.071428571428573,34.5,34.5,6.757142857142857,43.2,32.357142857142854,245,13,311327,167555,2014,15,198.4,4266
2014-W16,29.2,28.471428571428568,23.5,25.7,33.4,33.4,7.214285714285714,33.1,28.900000000000002,235,14,311327,167555,2014,16,227.6,4501
2014-W17,7.6000000000000005,28.342857142857145,24.7,25.37142857142857,34.4,34.4,7.028571428571429,40.3,33.214285714285715,282,16,311327,167555,2014,17,235.2,4783
2014-W18,20.2,28.857142857142858,24.5,26.271428571428572,33.7,33.7,7.1571428571428575,35.3,29.271428571428572,251,11,302133,182715,2014,18,255.39999999999998,5034
2014-W19,30.599999999999998,28.928571428571427,24.3,26.32857142857143,33.8,33.8,7.3,37.8,32.44285714285714,261,14,302133,182715,2014,19,286.0,5295
2014-W20,56.599999999999994,28.457142857142856,23.0,25.685714285714287,33.1,33.1,5.957142857142857,42.5,31.314285714285713,291,16,302133,182715,2014,20,342.6,5586
2014-W21,15.6,27.985714285714288,23.2,25.0,32.6,32.6,7.1571428571428575,34.6,29.928571428571427,428,17,302133,182715,2014,21,358.20000000000005,6014
2014-W22,39.2,28.442857142857143,24.2,25.74285714285714,32.7,32.7,6.757142857142858,42.1,33.885714285714286,456,14,236284,179300,2014,22,397.40000000000003,6470
2014-W23,19.6,28.414285714285715,25.3,26.342857142857145,32.6,32.6,8.299999999999999,39.6,31.82857142857143,459,19,236284,179300,2014,23,417.00000000000006,6929
2014-W24,24.8,29.2,23.0,25.97142857142857,33.0,33.0,7.257142857142857,60.5,36.47142857142857,506,20,236284,179300,2014,24,441.80000000000007,7435
2014-W25,5.6,29.87142857142857,23.9,26.87142857142857,33.6,33.6,8.985714285714286,43.9,31.814285714285713,551,18,236284,179300,2014,25,447.4000000000001,7986
2014-W26,1.0,29.0,25.2,26.485714285714288,33.2,33.2,7.271428571428571,39.6,32.65714285714286,671,25,236284,179300,2014,26,448.4000000000001,8657
2014-W27,25.0,28.25714285714286,23.9,25.24285714285714,32.6,32.6,6.385714285714286,44.3,35.22857142857143,891,33,352100,151508,2014,27,473.4000000000001,9548
2014-W28,55.8,28.17142857142857,22.6,24.67142857142857,32.1,32.1,7.685714285714285,59.8,37.199999999999996,819,30,352100,151508,2014,28,529.2,10367
2014-W29,8.4,29.157142857142855,23.4,26.771428571428572,32.5,32.5,9.857142857142858,46.4,32.24285714285714,746,31,352100,151508,2014,29,537.6,11113
2014-W30,27.8,29.47142857142857,23.2,27.071428571428573,33.2,33.2,11.442857142857141,35.6,33.98571428571429,634,26,352100,151508,2014,30,565.4,11747
2014-W31,45.8,28.271428571428572,21.1,24.942857142857143,32.0,32.0,8.471428571428572,70.6,37.699999999999996,484,27,340734,154314,2014,31,611.1999999999999,12231
2014-W32,20.2,27.8,23.6,25.314285714285713,31.7,31.7,8.814285714285715,52.9,40.357142857142854,545,26,340734,154314,2014,32,631.4,12776
2014-W33,45.6,27.271428571428572,23.5,25.457142857142856,30.8,30.8,7.528571428571429,40.3,30.342857142857145,438,26,340734,154314,2014,33,677.0,13214
2014-W34,24.8,28.12857142857143,24.7,25.928571428571427,31.9,31.9,10.157142857142857,46.8,35.22857142857143,418,21,340734,154314,2014,34,701.8,13632
2014-W35,138.6,27.014285714285712,22.0,23.8,31.6,31.6,7.371428571428572,44.6,35.642857142857146,367,18,219725,142660,2014,35,840.4,13999
2014-W36,10.0,28.085714285714285,23.4,25.185714285714287,32.5,32.5,8.371428571428572,45.7,32.24285714285715,339,16,219725,142660,2014,36,850.4,14338
2014-W37,5.6,28.5,24.9,25.62857142857143,32.0,32.0,9.214285714285714,40.3,35.32857142857143,362,14,219725,142660,2014,37,856.0,14700
2014-W38,35.2,28.82857142857143,22.4,25.985714285714288,32.9,32.9,11.357142857142858,61.9,40.728571428571435,397,11,219725,142660,2014,38,891.2,15097
2014-W39,32.8,28.457142857142856,23.3,25.599999999999998,33.2,33.2,11.057142857142859,61.6,41.0,345,16,219725,142660,2014,39,924.0,15442
2014-W40,6.6,28.514285714285712,24.1,26.12857142857143,32.6,32.6,10.37142857142857,42.1,34.65714285714286,339,12,300882,189368,2014,40,930.6,15781
2014-W41,0.0,28.985714285714288,25.8,26.900000000000002,32.6,32.6,10.085714285714285,33.8,29.571428571428573,278,10,300882,189368,2014,41,930.6,16059
2014-W42,37.800000000000004,28.214285714285715,24.2,25.428571428571427,34.1,34.1,7.214285714285714,37.8,31.642857142857142,297,12,300882,189368,2014,42,968.4,16356
2014-W43,10.6,28.214285714285715,24.8,25.457142857142856,33.2,33.2,7.514285714285714,35.3,27.985714285714288,213,14,300882,189368,2014,43,979.0,16569
2014-W44,69.39999999999999,28.32857142857143,24.0,25.12857142857143,33.5,33.5,6.3428571428571425,37.4,29.957142857142856,186,9,286058,218046,2014,44,1048.4,16755
2014-W45,98.2,27.728571428571428,22.8,24.5,33.4,33.4,7.057142857142857,49.7,33.528571428571425,169,10,286058,218046,2014,45,1146.6000000000001,16924
2014-W46,93.0,27.042857142857144,22.2,24.271428571428572,32.8,32.8,5.971428571428571,50.8,34.199999999999996,158,13,286058,218046,2014,46,1239.6000000000001,17082
2014-W47,12.8,27.24285714285714,24.6,25.24285714285714,32.3,32.3,6.571428571428571,40.7,28.642857142857142,149,12,286058,218046,2014,47,1252.4,17231
2014-W48,42.4,27.599999999999998,23.7,25.014285714285712,32.7,32.7,6.1571428571428575,29.5,27.099999999999998,162,11,272108,216518,2014,48,1294.8000000000002,17393
2014-W49,107.8,27.214285714285715,22.4,24.071428571428573,33.6,33.6,5.485714285714286,49.7,31.72857142857143,212,10,272108,216518,2014,49,1402.6000000000001,17605
2014-W50,0.0,28.214285714285715,24.5,25.585714285714285,32.4,32.4,9.428571428571429,35.6,31.3,177,10,272108,216518,2014,50,1402.6000000000001,17782
2014-W51,39.0,26.885714285714283,24.0,24.914285714285715,32.1,32.1,7.328571428571428,36.0,29.62857142857143,198,9,272108,216518,2014,51,1441.6000000000001,17980
2014-W52,96.8,26.428571428571427,23.7,24.514285714285712,30.9,30.9,6.1571428571428575,32.4,25.87142857142857,188,10,272108,216518,2014,52,1538.4,18168
2015-W01,0.6,26.85,24.5,24.675,32.1,32.1,8.975,39.6,30.875,257,10,313152,150704,2015,1,0.6,257
2015-W02,79.0,26.285714285714285,23.3,24.17142857142857,32.4,32.4,7.5,33.8,27.87142857142857,228,14,313152,150704,2015,2,79.6,485
2015-W03,0.0,27.12857142857143,23.9,24.657142857142855,31.5,31.5,12.3,38.2,36.0,237,10,313152,150704,2015,3,79.6,722
2015-W04,0.0,27.0,24.4,24.957142857142856,30.9,30.9,14.085714285714285,42.5,36.25714285714286,259,12,313152,150704,2015,4,79.6,981
2015-W05,0.0,26.985714285714288,23.7,24.585714285714285,31.8,31.8,12.071428571428571,40.0,34.77142857142857,212,9,297204,153236,2015,5,79.6,1193
2015-W06,14.8,26.285714285714285,23.6,24.228571428571428,30.8,30.8,12.457142857142857,43.2,39.857142857142854,173,8,297204,153236,2015,6,94.39999999999999,1366
2015-W07,0.0,26.714285714285715,23.3,24.0,32.0,32.0,7.528571428571429,39.2,14.285714285714286,100,8,297204,153236,2015,7,94.39999999999999,1466
2015-W08,4.0,27.314285714285713,23.1,24.542857142857144,32.4,32.4,12.914285714285715,36.7,33.52857142857143,172,11,297204,153236,2015,8,98.39999999999999,1638
2015-W09,0.0,27.857142857142858,24.7,25.085714285714285,33.6,33.6,12.685714285714285,42.8,34.75714285714286,190,9,240330,151762,2015,9,98.39999999999999,1828
2015-W10,14.0,28.085714285714285,23.4,24.82857142857143,34.4,34.4,10.085714285714285,36.7,32.24285714285715,110,11,240330,151762,2015,10,112.39999999999999,1938
